Question,Option A,Option B,Option C,Option D,Answer
हरियाणा राज्य का गठन कब हुआ?,1 नवंबर 1965,1 नवंबर 1966,1 नवंबर 1967,1 नवंबर 1968,Option B
हरियाणा किस राज्य से अलग होकर बना?,उत्तर प्रदेश,हिमाचल प्रदेश,पंजाब,राजस्थान,Option C
हरियाणा के गठन के लिए किस आयोग का गठन किया गया था?,फजल अली आयोग,जे.सी. शाह आयोग,कोठारी आयोग,सरकारिया आयोग,Option B
जे.सी. शाह आयोग में कुल कितने सदस्य थे?,2,3,4,5,Option B
जे.सी. शाह आयोग के अध्यक्ष कौन थे?,एस. दत्त,एम.एम. फिलिप,जे.सी. शाह,हुकुम सिंह,Option C
हरियाणा के गठन की सिफारिश किस समिति ने की थी?,जे.सी. शाह समिति,सरदार हुकुम सिंह समिति,वर्मा समिति,इनमें से कोई नहीं,Option B
हरियाणा भारत का कौन-सा राज्य बना?,16वां,17वां,18वां,19वां,Option B
हरियाणा का गठन किस संविधान संशोधन के तहत हुआ?,17वां,18वां,21वां,42वां,Option B
पंजाब के कुल क्षेत्रफल का कितना प्रतिशत हिस्सा हरियाणा को मिला?,30.18%,35.18%,40.18%,45.18%,Option B
हरियाणा भारत के किस भाग में स्थित है?,उत्तर-पूर्व,उत्तर-पश्चिम,दक्षिण-पश्चिम,मध्य भारत,Option B
हरियाणा का कुल क्षेत्रफल कितना है?,44212 वर्ग किमी,50362 वर्ग किमी,42412 वर्ग किमी,44122 वर्ग किमी,Option A
क्षेत्रफल की दृष्टि से हरियाणा का भारत के राज्यों में कौन सा स्थान है?,18वां,19वां,20वां,21वां,Option C
हरियाणा का अक्षांशीय विस्तार क्या है?,27°39' से 30°55',28°39' से 31°55',27°39' से 31°55',26°39' से 30°55',Option A
हरियाणा का देशांतरीय विस्तार क्या है?,74°27' से 77°36',75°27' से 78°36',74°27' से 76°36',73°27' से 77°36',Option A
हरियाणा किस प्रकार का राज्य है?,तटीय राज्य,भू-आवेष्ठित (Landlocked),द्वीपीय राज्य,इनमें से कोई नहीं,Option B
हरियाणा भारत के कुल क्षेत्रफल का कितना प्रतिशत है?,1.34%,2.34%,1.44%,2.09%,Option A
हरियाणा कितने राज्यों के साथ सीमा साझा करता है?,4,5,6,7,Option B
हरियाणा के उत्तर में कौन सा राज्य स्थित है?,पंजाब,उत्तराखंड,हिमाचल प्रदेश,उत्तर प्रदेश,Option C
हरियाणा की सबसे लंबी सीमा किस राज्य के साथ लगती है?,पंजाब,राजस्थान,उत्तर प्रदेश,हिमाचल प्रदेश,Option B
यमुना नदी हरियाणा की किस सीमा पर बहती है?,पश्चिमी,उत्तरी,पूर्वी,दक्षिणी,Option C
हरियाणा के पूर्व में कौन सा राज्य स्थित है?,राजस्थान,उत्तर प्रदेश,पंजाब,हिमाचल प्रदेश,Option B
हरियाणा ने दिल्ली को कितनी तरफ से घेरा हुआ है?,1,2,3,4,Option C
हरियाणा दिल्ली को किस दिशा से नहीं घेरता है?,उत्तर,पश्चिम,दक्षिण,पूर्व,Option D
हरियाणा की सबसे छोटी सीमा किस राज्य के साथ लगती है?,हिमाचल प्रदेश,उत्तराखंड,पंजाब,दिल्ली,Option B
उत्तराखंड के साथ हरियाणा की सीमा की लंबाई लगभग कितनी है?,11 किमी,21 किमी,31 किमी,41 किमी,Option A
हरियाणा का राजकीय वृक्ष कौन सा है?,बरगद,पीपल,नीम,शिशम,Option B
हरियाणा का राजकीय पुष्प क्या है?,गुलाब,कमल,सूरजमुखी,गेंदा,Option B
हरियाणा का राजकीय पशु कौन सा है?,बाघ,काला हिरण (Black Buck),नीलगाय,शेर,Option B
हरियाणा का राजकीय पक्षी कौन सा है?,मोर,काला तीतर (Black Francolin),कबूतर,तोता,Option B
